Start Time, Fri Apr 10 12:04:11 GMT-0400 2026
Energy calibration,  Offset: -168.54302978515625, Slope: 0.9260296821594238, Quadratic: 0
Live Time (s), 120
Real Time (s), 130.731314
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
659, 441.71053075790405, 447
660, 442.6365604400635, 462
661, 443.5625901222229, 484
662, 444.4886198043823, 515
663, 445.41464948654175, 429
664, 446.3406791687012, 500
665, 447.2667088508606, 436
666, 448.19273853302, 475
667, 449.11876821517944, 455
668, 450.04479789733887, 440
669, 450.9708275794983, 412
670, 451.8968572616577, 467
671, 452.82288694381714, 464
672, 453.74891662597656, 456
673, 454.674946308136, 461
674, 455.6009759902954, 456
675, 456.52700567245483, 452
676, 457.45303535461426, 459
677, 458.3790650367737, 453
678, 459.3050947189331, 432
679, 460.23112440109253, 430
680, 461.15715408325195, 451
681, 462.0831837654114, 436
682, 463.0092134475708, 433
683, 463.9352431297302, 481
684, 464.86127281188965, 444
685, 465.7873024940491, 447
686, 466.7133321762085, 485
687, 467.6393618583679, 452
688, 468.56539154052734, 439
689, 469.49142122268677, 445
690, 470.4174509048462, 428
691, 471.3434805870056, 427
692, 472.26951026916504, 456
693, 473.19553995132446, 493
694, 474.1215696334839, 416
695, 475.0475993156433, 456
696, 475.97362899780273, 475
697, 476.89965867996216, 420
698, 477.8256883621216, 417
699, 478.751718044281, 407
700, 479.67774772644043, 416
701, 480.60377740859985, 448
702, 481.5298070907593, 456
703, 482.4558367729187, 433
704, 483.3818664550781, 469
705, 484.30789613723755, 468
706, 485.233925819397, 422
707, 486.1599555015564, 436
708, 487.0859851837158, 405
709, 488.01201486587524, 464
710, 488.93804454803467, 432
711, 489.8640742301941, 407
712, 490.7901039123535, 404
713, 491.71613359451294, 436
714, 492.64216327667236, 395
715, 493.5681929588318, 458
716, 494.4942226409912, 448
717, 495.42025232315063, 421
718, 496.34628200531006, 454
719, 497.2723116874695, 450
720, 498.1983413696289, 449
721, 499.12437105178833, 472
722, 500.05040073394775, 449
723, 500.9764304161072, 424
724, 501.9024600982666, 420
725, 502.828489780426, 428
726, 503.75451946258545, 431
727, 504.6805491447449, 442
728, 505.6065788269043, 414
729, 506.5326085090637, 433
730, 507.45863819122314, 429
731, 508.38466787338257, 454
732, 509.310697555542, 415
733, 510.2367272377014, 455
734, 511.16275691986084, 422
735, 512.0887866020203, 463
736, 513.0148162841797, 429
737, 513.9408459663391, 496
738, 514.8668756484985, 424
739, 515.792905330658, 446
740, 516.7189350128174, 449
741, 517.6449646949768, 440
742, 518.5709943771362, 453
743, 519.4970240592957, 440
744, 520.4230537414551, 431
745, 521.3490834236145, 429
746, 522.2751131057739, 428
747, 523.2011427879333, 445
748, 524.1271724700928, 425
749, 525.0532021522522, 444
750, 525.9792318344116, 422
751, 526.905261516571, 441
752, 527.8312911987305, 417
753, 528.7573208808899, 423
754, 529.6833505630493, 454
755, 530.6093802452087, 446
756, 531.5354099273682, 417
757, 532.4614396095276, 433
758, 533.387469291687, 425
759, 534.3134989738464, 431
760, 535.2395286560059, 423
761, 536.1655583381653, 458
762, 537.0915880203247, 430
763, 538.0176177024841, 423
764, 538.9436473846436, 438
765, 539.869677066803, 425
766, 540.7957067489624, 488
767, 541.7217364311218, 443
768, 542.6477661132813, 437
769, 543.5737957954407, 458
770, 544.4998254776001, 456
771, 545.4258551597595, 441
772, 546.351884841919, 442
773, 547.2779145240784, 468
774, 548.2039442062378, 426
775, 549.1299738883972, 462
776, 550.0560035705566, 438
777, 550.9820332527161, 400
778, 551.9080629348755, 416
779, 552.8340926170349, 444
780, 553.7601222991943, 455
781, 554.6861519813538, 449
782, 555.6121816635132, 441
783, 556.5382113456726, 455
784, 557.464241027832, 445
785, 558.3902707099915, 441
786, 559.3163003921509, 431
787, 560.2423300743103, 456
788, 561.1683597564697, 416
789, 562.0943894386292, 421
790, 563.0204191207886, 454
791, 563.946448802948, 403
792, 564.8724784851074, 413
793, 565.7985081672668, 410
794, 566.7245378494263, 431
795, 567.6505675315857, 473
796, 568.5765972137451, 434
797, 569.5026268959045, 434
798, 570.428656578064, 458
799, 571.3546862602234, 429
800, 572.2807159423828, 401
801, 573.2067456245422, 446
802, 574.1327753067017, 431
803, 575.0588049888611, 390
804, 575.9848346710205, 427
805, 576.9108643531799, 465
806, 577.8368940353394, 398
807, 578.7629237174988, 434
808, 579.6889533996582, 420
809, 580.6149830818176, 422
810, 581.541012763977, 428
811, 582.4670424461365, 416
812, 583.3930721282959, 458
813, 584.3191018104553, 447
814, 585.2451314926147, 443
815, 586.1711611747742, 451
816, 587.0971908569336, 429
817, 588.023220539093, 407
818, 588.9492502212524, 394
819, 589.8752799034119, 415
820, 590.8013095855713, 459
821, 591.7273392677307, 447
822, 592.6533689498901, 411
823, 593.5793986320496, 472
824, 594.505428314209, 428
825, 595.4314579963684, 402
826, 596.3574876785278, 428
827, 597.2835173606873, 399
828, 598.2095470428467, 407
829, 599.1355767250061, 433
830, 600.0616064071655, 424
831, 600.987636089325, 423
832, 601.9136657714844, 432
833, 602.8396954536438, 423
834, 603.7657251358032, 429
835, 604.6917548179626, 441
836, 605.6177845001221, 407
837, 606.5438141822815, 435
838, 607.4698438644409, 429
839, 608.3958735466003, 448
840, 609.3219032287598, 433
841, 610.2479329109192, 433
842, 611.1739625930786, 436
843, 612.099992275238, 418
844, 613.0260219573975, 391
845, 613.9520516395569, 406
846, 614.8780813217163, 431
847, 615.8041110038757, 398
848, 616.7301406860352, 408
849, 617.6561703681946, 409
850, 618.582200050354, 416
851, 619.5082297325134, 391
852, 620.4342594146729, 408
853, 621.3602890968323, 427
854, 622.2863187789917, 441
855, 623.2123484611511, 394
856, 624.1383781433105, 453
857, 625.06440782547, 418
858, 625.9904375076294, 405
859, 626.9164671897888, 419
860, 627.8424968719482, 422
861, 628.7685265541077, 412
862, 629.6945562362671, 406
863, 630.6205859184265, 382
864, 631.5466156005859, 447
865, 632.4726452827454, 442
866, 633.3986749649048, 411
867, 634.3247046470642, 438
868, 635.2507343292236, 399
869, 636.176764011383, 440
870, 637.1027936935425, 419
871, 638.0288233757019, 414
872, 638.9548530578613, 393
873, 639.8808827400208, 432
874, 640.8069124221802, 398
875, 641.7329421043396, 415
876, 642.658971786499, 412
877, 643.5850014686584, 383
878, 644.5110311508179, 431
879, 645.4370608329773, 419
880, 646.3630905151367, 406
881, 647.2891201972961, 421
882, 648.2151498794556, 450
883, 649.141179561615, 457
884, 650.0672092437744, 437
885, 650.9932389259338, 437
886, 651.9192686080933, 398
887, 652.8452982902527, 405
888, 653.7713279724121, 382
889, 654.6973576545715, 446
890, 655.623387336731, 417
891, 656.5494170188904, 400
892, 657.4754467010498, 393
893, 658.4014763832092, 430
894, 659.3275060653687, 407
895, 660.2535357475281, 405
896, 661.1795654296875, 427
897, 662.1055951118469, 443
898, 663.0316247940063, 446
899, 663.9576544761658, 428
900, 664.8836841583252, 426
